[Header]
TITLE,28-03-2025_RuCl3_TB001_0T _001_110-180K
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (µJ/K)
7840420.58,,5905,,146.576,0.316,9.1E-6,146.47619,3.5089956,74.081998,0.2414,3835.5385,2.858,15621.23,14.1,0.10317333,122.72133,0.17079293,99.24792,369.17328,2.803,1,,,,0.00012784009,246.42146,21455.276,0.50576135,0
7841432.16,,5905,,146.586,0.316,9.1E-6,146.47142,3.5200502,74.061643,0.2396,3835.6334,2.858,15618.086,13.36,1.2023498,124.00216,0.1881272,99.180191,369.34276,2.76,1,,,,0.00012654353,245.44265,21453.878,0.50563886,0
7842510.45,,5905,,147.965,0.316,9.1E-6,147.73086,3.4956251,74.606512,0.2556,3889.9746,2.893,15759.111,18.96,1.5758976,125.47499,0.245872,98.944419,367.61185,3.126,1,,,,0.00012635719,248.00433,21824.407,0.50501643,0
7843542.41,,5905,,147.922,0.316,9.1E-6,147.8661,3.6136154,74.561844,0.2572,3896.171,2.897,15758.201,19.54,1.7290944,125.96355,0.23360311,99.002184,368.3515,3.16,1,,,,0.00012581706,250.94999,21864.383,0.50425246,0
7844579.03,,5905,,147.922,0.316,9.1E-6,147.8744,3.6050449,74.625003,0.2556,3896.2388,2.897,15768.317,18.97,1.3127601,124.42052,0.23127183,98.999463,367.80211,3.13,1,,,,0.00012746148,251.9271,21866.838,0.50465126,0
7845662.17,,5905,,149.323,0.316,9.2E-6,149.09746,3.5068302,75.014709,0.2655,3948.2533,2.93,15882.329,21.83,0.033615113,121.67948,0.17704787,99.220243,367.29319,3.339,1,,,,0.00013110596,248.84104,22230.053,0.50312532,0
7846913.02,,5905,,149.308,0.316,9.1E-6,149.17718,3.5656586,75.113455,0.2495,3952.7157,2.933,15902.501,16.27,11.336012,124.70097,0.21924008,99.057514,366.58808,3.025,1,,,,0.00012821142,243.35896,22253.832,0.50351839,0
7847941.48,,5905,,149.308,0.316,9.2E-6,149.21892,3.6301465,74.812953,0.2493,3954.3818,2.934,15856.361,16.5,2.2345406,124.41217,0.22026507,99.053035,369.43323,3.025,1,,,,0.00012813796,249.40194,22266.285,0.50136374,0
7849029.53,,5905,,150.689,0.316,9.1E-6,150.49581,3.5462508,74.857208,0.2317,4008.3861,2.97,15917.405,7.512,2.6853041,120.14193,0.14613076,99.353913,372.18749,2.531,1,,,,0.0001329712,248.82434,22648.99,0.49740392,0
7849899.41,,5905,,150.689,0.316,9.1E-6,150.61591,3.5684143,74.647054,0.2358,4014.2392,2.973,15889.825,10.62,0.21330625,120.70942,0.15011788,99.340801,374.41819,2.704,1,,,,0.00013212552,240.28387,22685.153,0.49561201,0
7850776.53,,5905,,150.693,0.316,9.1E-6,150.58331,3.5815519,74.997377,0.2372,4012.9872,2.973,15944.306,10.8,0.34425563,121.62435,0.17039622,99.255448,371.11316,2.729,1,,,,0.00013164614,241.41883,22675.334,0.49804574,0
7851841.38,,5905,,152.069,0.316,9E-6,151.85084,3.5334393,75.26202,0.2331,4066.9365,3.008,16040.357,7.674,2.0736923,119.96515,0.15239675,99.328251,371.77671,2.581,1,,,,0.00013421297,243.24869,23058.677,0.49563124,0
7852710.84,,5905,,152.069,0.316,9.1E-6,152.00314,3.5883956,74.930225,0.2345,4073.7465,3.012,15994.382,9.307,0.37658111,119.02634,0.12882916,99.429449,375.23665,2.665,1,,,,0.00013480561,239.9303,23104.955,0.49295182,0
7853572.75,,5905,,152.069,0.316,9E-6,151.955,3.5919558,75.430914,0.2404,4072.3773,3.011,16072.667,11.84,6.4276712,122.37141,0.19144616,99.172189,370.45848,2.835,1,,,,0.00013195544,238.05268,23090.322,0.49640297,0
7854643.28,,5905,,153.427,0.316,9E-6,153.26938,3.589133,76.014487,0.2444,4128.4179,3.047,16221.548,13.01,2.8395234,121.98969,0.20106384,99.130416,368.16682,2.957,1,,,,0.00013362411,244.74282,23491.502,0.49595352,0
7855526.31,,5905,,153.44,0.316,9E-6,153.4323,3.6404305,75.44613,0.2462,4134.8652,3.051,16137.576,14.52,0.044371994,117.43858,0.11208459,99.498919,373.91686,3.023,1,,,,0.00013779609,243.97938,23541.47,0.4917226,0
7856375.73,,5905,,153.471,0.316,9.1E-6,153.42835,3.5857159,75.338386,0.2344,4135.3349,3.051,16120.905,8.473,0.91331797,119.1814,0.14075247,99.380346,374.92089,2.658,1,,,,0.00013573035,234.87716,23540.26,0.49103301,0
7857547.83,,5905,,154.817,0.316,9.1E-6,154.70537,3.5623198,76.166564,0.2392,4190.0611,3.085,16307.385,10,19.3841,120.51232,0.18330218,99.202643,370.167,2.811,1,,,,0.0001359186,238.3628,23933.751,0.49233304,0
7858421.89,,5905,,154.818,0.316,9E-6,154.82507,3.6482097,75.961056,0.2527,4194.8733,3.088,16279.504,16.58,0.015772913,117.564,0.12810979,99.42997,372.41294,3.2,1,,,,0.00013891147,241.02464,23970.804,0.49062503,0
7859274.41,,5905,,154.818,0.316,9E-6,154.81931,3.6001457,75.785296,0.2453,4194.7238,3.088,16251.392,13.73,0.047726357,117.04109,0.11671746,99.478947,374.07272,3.019,1,,,,0.00013925272,235.128,23969.018,0.48950805,0
7860429.44,,5905,,156.232,0.316,9E-6,156.03943,3.5577364,76.409116,0.2359,4247.2664,3.119,16403.178,7.162,1.4145871,119.67723,0.16748761,99.270116,371.02453,2.675,1,,,,0.00013761604,234.08218,24348.305,0.48967824,0
7861295.73,,5905,,156.185,0.316,9.1E-6,156.19878,3.6772308,75.992377,0.2367,4253.91,3.122,16343.523,8.711,13.05971,117.37144,0.13715949,99.392689,375.41612,2.752,1,,,,0.00013971228,239.35446,24398.06,0.48651068,0
7862148.28,,5905,,156.184,0.316,9.1E-6,156.15851,3.6655177,76.489665,0.2447,4253.1053,3.122,16421.832,12.5,1.8202963,121.66088,0.20581962,99.11769,370.53091,3.006,1,,,,0.00013564127,234.74287,24385.479,0.48982067,0
