[Header]
TITLE,H parra C RuCl3 9T HC, I removeed the 190th line to make it plot nicely as it had no sample coupling for that point
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (�J/K),Addenda HC Err (�J/K),Total HC (�J/K),Total HC Err (�J/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (�J/K)
8319388.27,Error: Warning: Current field is 90000.391 Oe;
8319388.42,Error: but addenda was obtained at 0.021 Oe.
8319472.19,Error: Temperature of platform does not match the system temperature : System = 15.003 K;  Platform = 14.376 K
8341354.33,,5905,,37.4113,90000.391,9E-6,36.925889,1.0143059,16.224281,0.05342,263.51286,0.4461,2844.6307,3.323,3.2778606,61.266307,0.012406271,99.758709,276.6324,0.4935,1,,,,4.6523069E-5,124.40217,1363.5213,0.43937415,0
8341811.67,,5905,,37.4113,90000.391,9E-6,36.924458,1.0048443,16.22199,0.05348,263.50003,0.4461,2844.2534,3.352,0.94635753,61.137744,0.011798826,99.770075,276.63781,0.4948,1,,,,4.6610338E-5,122.53261,1363.4156,0.43932913,0
8342764.16,,5905,,39.3663,90000.391,9.1E-6,38.833971,0.99626078,17.531725,0.05957,289.16526,0.4736,3078.2841,4.287,0.29939889,65.212814,0.018562304,99.664849,281.65408,0.5447,1,,,,4.733402E-5,122.27549,1508.0773,0.4514533,0
8343250.23,,5905,,39.3663,90000.391,9E-6,38.882413,1.0564164,17.567673,0.05744,289.80123,0.4745,3084.639,3.432,2.7677189,64.411708,0.012975705,99.762983,281.761,0.5084,1,,,,4.7982835E-5,130.42563,1511.8421,0.45181539,0
8343730.53,,5905,,39.366,90000.391,9.1E-6,38.88143,1.0488832,17.561594,0.05743,289.79791,0.4745,3083.6687,3.433,1.0470275,64.31635,0.013354259,99.755761,281.79516,0.5085,1,,,,4.8041711E-5,128.82342,1511.7656,0.45167049,0
8344848.61,,5905,,41.412,90000.391,9.1E-6,40.869771,1.0404005,18.936099,0.06433,317.56232,0.5165,3330.1028,4.625,0.27309885,68.350654,0.0199129,99.661558,286.78539,0.5694,1,,,,4.8856302E-5,128.6327,1670.3382,0.46332776,0
8345354.81,,5905,,41.4121,90000.391,9.1E-6,40.917086,1.1020231,18.969433,0.06188,318.21709,0.5175,3336.0607,3.646,1.8199594,67.582573,0.014304683,99.754319,286.89797,0.5292,1,,,,4.9462243E-5,136.70131,1674.208,0.46360664,0
8345855.55,,5905,,41.3988,90000.391,9.1E-6,40.915837,1.0947359,18.967117,0.06197,318.20958,0.5175,3335.6847,3.686,0.71149345,67.48508,0.014083354,99.757795,286.90444,0.5309,1,,,,4.9526701E-5,135.16515,1674.1057,0.4635642,0
8346950.05,,5905,,43.5592,90000.391,9.1E-6,43.024825,1.0857402,20.440737,0.06855,349.52761,0.5613,3601.4406,4.673,0.34580539,71.622139,0.020995995,99.66477,291.90165,0.5836,1,,,,5.0421839E-5,134.97016,1851.1356,0.47509168,0
8347481.06,,5905,,43.5592,90000.391,9.1E-6,43.075123,1.1501668,20.478889,0.0666,350.28227,0.5621,3608.2649,3.848,1.3019802,70.790991,0.015169473,99.755153,291.99917,0.5508,1,,,,5.1072696E-5,143.24428,1855.4662,0.47542264,0
8348007.84,,5905,,43.5732,90000.391,9.1E-6,43.073995,1.1426331,20.472578,0.06642,350.26321,0.5621,3607.2418,3.776,0.88522101,70.697103,0.014819777,99.760537,292.03181,0.548,1,,,,5.1123765E-5,141.58198,1855.369,0.47528857,0
8349144.91,,5905,,45.829,90000.391,9.1E-6,45.288658,1.1342364,22.015452,0.07406,385.82527,0.5883,3888.2594,5.116,0.28545564,75.064109,0.023442838,99.649831,297.08007,0.6155,1,,,,5.1946918E-5,141.39421,2051.0625,0.48611403,0
8349701.55,,5905,,45.8402,90000.391,9.1E-6,45.342145,1.2022613,22.058798,0.07153,386.67806,0.5887,3896.0081,4.049,1.9146165,74.13561,0.016520221,99.75035,297.16122,0.5742,1,,,,5.2659189E-5,150.12822,2055.9101,0.48649657,0
8350251.41,,5905,,45.829,90000.391,9.1E-6,45.340829,1.1936592,22.05212,0.07148,386.66533,0.5887,3894.9329,4.036,0.7878054,74.025302,0.015924209,99.759063,297.19411,0.5737,1,,,,5.271936E-5,148.27122,2055.7908,0.4863634,0
8351212.11,,5905,,48.2248,90000.391,9.1E-6,47.602314,1.1911032,23.75472,0.08467,424.99429,0.6031,4204.1282,7.093,1.3862319,80.678515,0.039627389,99.457658,301.32263,0.7055,1,,,,5.2339358E-5,148.0506,2265.9803,0.49902447,0
8351806.73,,5905,,48.2405,90000.391,9E-6,47.729771,1.2752377,23.770746,0.07801,427.09503,0.6038,4208.7786,4.763,8.9456246,78.530635,0.02356599,99.670214,302.03226,0.6186,1,,,,5.3737309E-5,161.35703,2278.1311,0.49802766,0
8352386.3,,5905,,48.2248,90000.391,9.1E-6,47.742014,1.2541356,23.725822,0.07656,427.29196,0.6039,4201.8285,4.187,1.9902989,77.492154,0.018092535,99.744015,302.38235,0.5971,1,,,,5.4334952E-5,157.06127,2279.2999,0.49695895,0
8353446.3,,5905,,50.7199,90000.391,9E-6,50.170892,1.2334499,25.391685,0.08414,469.3862,0.6219,4508.9446,5.416,0.2602316,81.694568,0.025965323,99.658503,307.49197,0.6624,1,,,,5.5344559E-5,154.98431,2517.1184,0.50610392,0
8354049.81,,5905,,50.7521,90000.391,9.2E-6,50.226846,1.3062934,25.447605,0.08202,470.36743,0.6224,4518.8222,4.447,1.5741479,81.094661,0.020989125,99.721991,307.50146,0.6264,1,,,,5.584753E-5,163.38914,2522.736,0.50665347,0
8354649,,5905,,50.72,90000.391,9.2E-6,50.235677,1.3003487,25.438275,0.08183,470.51898,0.6225,4517.4893,4.368,0.97346696,80.873704,0.019682596,99.738754,307.61112,0.6237,1,,,,5.5976018E-5,162.18932,2523.6233,0.50637865,0
8355826.42,,5905,,53.3782,90000.391,9E-6,52.830331,1.2861453,27.193804,0.08948,517.29951,0.6465,4843.5567,5.548,0.22279873,85.282114,0.028769307,99.645623,312.8543,0.6891,1,,,,5.6955716E-5,161.74741,2791.0439,0.51473846,0
8356452.55,,5905,,53.3782,90000.391,9.1E-6,52.880956,1.3629326,27.22938,0.08703,518.23268,0.647,4850.1496,4.402,0.44871553,84.261532,0.021191316,99.736052,312.94519,0.6473,1,,,,5.7682212E-5,170.56423,2796.3955,0.51491845,0
