[Header]
TITLE,28-03-2025_RuCl3_TB001_0T _001_300-3K
BYAPP,HeatCapacity,3.9.6,1.7
INFO,33,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,207.43,MOLWGHT:Formula Weight (g/mole)
INFO,4,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (µJ/K)
7598792.53,,5905,,98.7886,0.316,9.1E-6,98.433809,2.2742316,54.807033,0.1724,1836.8801,1.524,10556.121,7.33,1.1713909,119.27842,0.069849142,99.591964,363.98534,1.339,1,,,,8.8747363E-5,239.30884,9689.2147,0.55679073,0
7599654.48,,5905,,98.7886,0.316,9.1E-6,98.416493,2.263881,54.722352,0.1748,1836.0954,1.524,10541.864,8.793,0.069916329,117.63537,0.0527727,99.687752,364.45479,1.396,1,,,,8.9806269E-5,238.55684,9685.8062,0.55602826,0
7601168.73,,5905,,96.5361,0.316,9E-6,96.102986,2.2105476,53.759136,0.1714,1750.7571,1.462,10303.288,8.481,0.7605158,119.32862,0.078539926,99.532534,361.84166,1.345,1,,,,8.6623412E-5,235.27074,9235.7838,0.5593909,0
7602031.52,,5905,,96.5361,0.316,9.1E-6,96.163926,2.2283622,53.640053,0.1681,1752.838,1.464,10286.424,6.824,0.94450925,117.9789,0.062033623,99.62753,362.81149,1.281,1,,,,8.7413135E-5,238.65725,9247.5006,0.55779808,0
7602888.81,,5905,,96.5361,0.316,9.1E-6,96.163381,2.2130338,53.645171,0.1689,1752.813,1.464,10287.213,7.284,0.22848003,117.71989,0.061558584,99.629545,362.7776,1.299,1,,,,8.7610969E-5,235.9578,9247.3959,0.55785446,0
7604292.13,,5905,,94.3023,0.316,9.1E-6,93.890859,2.164395,52.592682,0.171,1670.1218,1.406,10037.082,9.84,0.046060713,116.7123,0.0583177,99.639258,360.63059,1.361,1,,,,8.6214959E-5,235.43978,8815.4933,0.56014699,0
7605137.55,,5905,,94.3023,0.316,9.1E-6,93.919241,2.1626664,52.509534,0.1651,1671.2363,1.406,10024.968,6.993,0.85385837,117.14433,0.062345602,99.616307,361.25038,1.251,1,,,,8.5806927E-5,233.4246,8820.8238,0.5590924,0
7605985.2,,5905,,94.3299,0.316,9E-6,93.917812,2.1636502,52.493846,0.1671,1671.087,1.406,10022.323,8.133,0.099648857,116.26979,0.053663723,99.667367,361.3413,1.294,1,,,,8.63987E-5,234.28865,8820.5555,0.55893387,0
7607382.94,,5905,,92.1407,0.316,9E-6,91.707798,2.115465,51.500933,0.1675,1592.2109,1.353,9785.4848,9.683,0.10503025,116.67322,0.067279646,99.576002,358.82964,1.318,1,,,,8.4121383E-5,232.53957,8410.3202,0.56157638,0
7608229.02,,5905,,92.1709,0.316,9.1E-6,91.766699,2.1281003,51.39159,0.1616,1594.3074,1.354,9770.1859,6.866,3.6016692,116.33971,0.061281287,99.613655,359.7243,1.211,1,,,,8.4208007E-5,233.34643,8421.1271,0.56002439,0
