,Time,Temperature(K),Field(Oe),Field(T),Long Moment(emu),Long err,Susceptibility(m^3/mol),err
8317,3948970995.0815,11.1947159767151,99.7840461730957,0.00997840461730957,3.1886369752468e-06,2.34683728956165e-07,1.3146336421565059e-08,9.680534505220304e-10
8318,3948970996.0725,11.198082447052,99.7750396728516,0.00997750396728516,3.21403036704656e-06,1.69373212788922e-07,1.3252226225260765e-08,6.99046507130172e-10
8319,3948970997.0825,11.2015562057495,99.8110618591309,0.00998110618591309,3.44627464015104e-06,2.33111322266306e-07,1.4204697275684649e-08,9.613952979053102e-10
8320,3948970998.061,11.2050452232361,99.7750358581543,0.00997750358581543,3.46878578437181e-06,2.47311503176494e-07,1.4302645105759526e-08,1.0202676447421204e-09
8321,3948970999.064,11.2082953453064,99.7300071716309,0.00997300071716309,3.35514362800907e-06,2.14790869673523e-07,1.3840317097019683e-08,8.86619148530633e-10
8322,3948971000.068,11.2111740112305,99.7480201721191,0.00997480201721191,3.61856885711994e-06,1.99737890659748e-07,1.4924278029845157e-08,8.245216416457409e-10
8323,3948971001.0465,11.2142119407654,99.7750358581543,0.00997750358581543,3.21459148767988e-06,2.00109953976751e-07,1.3254540368397885e-08,8.256774517438612e-10
8324,3948971002.063,11.2172417640686,99.7840423583984,0.009978404235839839,3.26775903038436e-06,1.99483559357673e-07,1.3472546901335414e-08,8.230414366828061e-10
8325,3948971003.101,11.2202086448669,99.7840423583984,0.009978404235839839,3.24396930410908e-06,1.56651124019498e-07,1.3374464943628778e-08,6.466007946292407e-10
8326,3948971004.078,11.2233629226685,99.7930488586426,0.00997930488586426,3.19115092980861e-06,1.71744395213317e-07,1.3155514217197013e-08,7.08676671923491e-10
8327,3948971005.059,11.226393699646,99.8110618591309,0.00998110618591309,3.36119921691115e-06,1.91149505471302e-07,1.3854037285141813e-08,7.885297836534636e-10
8328,3948971006.078,11.2295031547546,99.8020553588867,0.009980205535888671,3.47907236058113e-06,1.95520780810479e-07,1.4341175503527307e-08,8.066511102843518e-10
8329,3948971007.0995,11.2328658103943,99.7840423583984,0.009978404235839839,3.28790947839577e-06,2.26666889590408e-07,1.355562458649897e-08,9.350497747740136e-10
