[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3949066880.3983,02/18/2025,7:04 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 L2,MOTOR_HW_VERSION
INFO,MMC884,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM641,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,VPA645,PREAMP_SERIAL_NUMBER
INFO,740,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NbTi,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,4.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3949069077.955,7.99967837333679,3044.75769042969,-0.0159413122017968,5.32057781913522E-6,1,0.999253354069792,40.0298881530762,1.99874305258698,17.8900007158518,-0.174199419398379,-0.0319825303510776,2.5,-0.000103067707101063,-0.0158364039081716,-0.000181900317918503,7.99976110458374,7.99976110458374,2999.73168945313,3089.78369140625,56.6086638767752,20.6234153522594,6.50033283233643,0,0,0,40,8.02017784118652,1,6,1,2.24685668945313,33.7243423461914,,,,,,,,,,,,,,,,
,3949069078.9395,7.99958157539368,3139.79699707031,-0.0158388088847885,5.42816287701912E-6,1,0.999253354069792,40.0298881530762,1.99883443566225,17.8900007158518,-0.173077892828411,-0.0318345095652896,2.5,-0.000107429031595909,-0.0157346403350586,-0.000185822894582055,7.99959564208984,7.99959564208984,3089.78369140625,3189.81030273438,55.8348516427367,20.6261262647421,6.50041723251343,0,0,0,40,8.02040195465088,1,6,1,2.2454833984375,34.2131004333496,,,,,,,,,,,,,,,,
,3949069079.933,7.99948573112488,3239.86950683594,-0.0157142027102196,6.40589480884139E-6,1,0.999253354069792,40.0298881530762,1.99894876296017,17.8900007158518,-0.171729969083211,-0.0315670899971641,2.5,-0.000104752732153561,-0.0156109577637622,-0.000182647890704963,7.99956750869751,7.99956750869751,3189.81030273438,3289.9287109375,56.025569001429,20.636362534746,6.50098276138306,0,0,0,40,8.02023410797119,1,6,1,2.2467041015625,34.2131004333496,,,,,,,,,,,,,,,,
,3949069080.94,7.99935674667358,3339.94665527344,-0.0155821068728833,6.79907456835037E-6,1,0.999253354069792,40.0298881530762,1.99883557721837,17.8900007158518,-0.170274385728944,-0.0313222945483469,2.5,-0.000105782359050214,-0.0154798150778788,-0.000183115894625018,7.99940395355225,7.99940395355225,3289.9287109375,3389.96459960937,55.8231272149482,20.6297340812222,6.50115489959717,0,0,0,40,8.02038383483887,1,6,1,2.22930908203125,35.190616607666,,,,,,,,,,,,,,,,
,3949069081.9395,7.99922156333923,3439.91162109375,-0.0154325598892148,7.25221415204863E-6,1,0.999253354069792,40.0298881530762,1.99877994695218,17.8900007158518,-0.168637565084567,-0.0310167097207562,2.5,-0.000104265237509914,-0.0153313467854833,-0.000180964842742826,7.99930953979492,7.99930953979492,3389.96459960937,3489.85864257812,55.3142870489289,20.6319866559075,6.50095891952515,0,0,0,40,8.0205135345459,1,6,1,2.24197387695313,34.2131004333496,,,,,,,,,,,,,,,,
,3949069082.9375,7.99903726577759,3539.86389160156,-0.0152620986785357,8.42421053589076E-6,1,0.999253354069792,40.0298881530762,1.99882354427513,17.8900007158518,-0.166787843894494,-0.03062698996229,2.5,-9.86271727492132E-5,-0.0151621200768234,-0.00017461308768122,7.99913358688354,7.99913358688354,3489.85864257812,3589.869140625,55.8293802431021,20.6275472411245,6.50161600112915,0,0,0,40,8.02036666870117,1,6,1,2.25814819335938,34.2131004333496,,,,,,,,,,,,,,,,
,3949069083.9435,7.9988739490509,3639.74743652344,-0.015095899932392,8.49711937085194E-6,1,0.999253354069792,40.0298881530762,1.99881428281053,17.8900007158518,-0.164968782212135,-0.0303111177772166,2.5,-9.90576744105043E-5,-0.0149970960704261,-0.000174309772066969,7.99894094467163,7.99894094467163,3589.869140625,3689.62573242188,55.8801860968521,20.6304403675409,6.5013313293457,0,0,0,40,8.02023410797119,1,6,1,2.2430419921875,35.6793746948242,,,,,,,,,,,,,,,,
,3949069084.947,7.99890732765198,3739.6201171875,-0.0149188836689515,9.41794057862363E-6,1,0.999253354069792,40.0298881530762,1.9988372284127,17.8999993950129,-0.16304376155996,-0.0299188037717925,2.5,-9.43757810927274E-5,-0.0148213491602476,-0.000168870988216228,7.99880695343018,7.99880695343018,3689.62573242188,3789.61450195313,55.6456975410828,20.6295300512367,6.50150346755981,0,0,0,40,8.02031517028809,1,6,1,2.24349975585938,34.7018585205078,,,,,,,,,,,,,,,,
,3949069085.92,7.99917364120483,3839.60571289063,-0.0147213338211481,9.73424259091829E-6,1,0.999253354069792,40.0298881530762,1.99888025613826,17.8900007158518,-0.160886872189107,-0.0295360628721049,2.5,-9.41801545467404E-5,-0.0146251780233451,-0.000167783808335901,7.99900770187378,7.99900770187378,3789.61450195313,3889.59692382812,56.4640626007175,20.6362093143838,6.50158262252808,0,0,0,40,8.02023792266846,1,6,1,2.244873046875,34.7018585205078,,,,,,,,,,,,,,,,
,3949069086.9125,7.99938249588013,3939.84216308594,-0.0145160269197935,1.01768755016556E-5,1,0.999253354069792,40.0298881530762,1.99888962459978,17.8900007158518,-0.158648870955251,-0.0291016415612566,2.5,-9.06803848694158E-5,-0.0144213151732641,-0.000163372674839153,7.99933958053589,7.99933958053589,3889.59692382812,3990.08740234375,56.208470074929,20.6299504499794,6.50189256668091,0,0,0,40,8.02033996582031,1,6,1,2.25570678710938,35.190616607666,,,,,,,,,,,,,,,,
