[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3949044084.4954,02/18/2025,12:44 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 L2,MOTOR_HW_VERSION
INFO,MMC884,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM641,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,VPA645,PREAMP_SERIAL_NUMBER
INFO,740,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NbTi,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,4.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3949048411.7275,4.1996693611145,66168.0859375,0.04882784369519,4.58489119249854E-5,1,0.999253354069792,40.0298881530762,1.99874288372053,17.8999993950129,0.536175447207996,0.102152839886762,2.5,0.000525156076750321,0.048799706654597,0.000887064697926872,4.19976949691772,4.19976949691772,66118.53125,66217.640625,55.9153593802175,20.6389393405699,3.57833957672119,0,0,0,40,4.20449447631836,1,6,1,2.24105834960938,42.5219955444336,,,,,,,,,,,,,,,,
,3949048412.733,4.19948291778564,66068.765625,0.0490510213108096,4.66481821190384E-5,1,0.999253354069792,40.0298881530762,1.99886840178952,17.8900007158518,0.538591500695469,0.102970524360641,2.5,0.000558929557737692,0.0490220922640788,0.000922502624304109,4.19956922531128,4.19956922531128,66019,66118.53125,56.8103240347368,20.6395340352029,3.57768821716309,0,0,0,40,4.20416164398193,1,6,1,2.24212646484375,42.0332374572754,,,,,,,,,,,,,,,,
,3949048413.7295,4.19939756393433,65969.484375,0.0493362602399518,5.42193296351737E-5,1,0.999253354069792,40.0298881530762,1.99889445484674,17.8900007158518,0.541736900207321,0.103505723968552,2.5,0.000556333121315669,0.0493067728585086,0.000922048920938537,4.19939661026001,4.19939661026001,65919.96875,66019,56.5750538504483,20.6379492318597,3.57813477516174,0,0,0,40,4.2045521736145,1,6,1,2.2442626953125,42.5219955444336,,,,,,,,,,,,,,,,
,3949048414.726,4.1994571685791,65870.58984375,0.0494595726815477,5.97414825623921E-5,1,0.999253354069792,40.0298881530762,1.99892658191603,17.8900007158518,0.542967896547098,0.104470538159913,2.5,0.000621804599683634,0.0494291028563472,0.000988426003993398,4.19939851760864,4.19939851760864,65821.2109375,65919.96875,55.7058829370636,20.6443098694188,3.57785487174988,0,0,0,40,4.20458507537842,1,6,1,2.24517822265625,43.0107536315918,,,,,,,,,,,,,,,,
,3949048415.7435,4.19950032234192,65771.5,0.0497745233811286,5.97472629502365E-5,1,0.999253354069792,40.0298881530762,1.99888382428639,17.8900007158518,0.546484513410645,0.104714842063723,2.5,0.000587749773007425,0.0497437041566977,0.000956750146202511,4.19951581954956,4.19951581954956,65721.7890625,65821.2109375,56.3272776098521,20.6437802501578,3.57820987701416,0,0,0,40,4.20464611053467,1,6,1,2.24212646484375,42.5219955444336,,,,,,,,,,,,,,,,
,3949048416.761,4.19951367378235,65667.234375,0.0500895165551656,5.80998030942773E-5,1,0.999253354069792,40.0298881530762,1.99886311208299,17.8900007158518,0.549954690488671,0.105251214983231,2.5,0.00058013787933833,0.0500581227219181,0.000951504977822682,4.19948482513428,4.19948482513428,65612.6796875,65721.7890625,56.0029017743713,20.6420686402195,3.57799768447876,0,0,0,40,4.2049708366394,1,6,1,2.24395751953125,42.0332374572754,,,,,,,,,,,,,,,,
,3949048417.754,4.19961357116699,65568.1796875,0.0503799808020017,5.3958511113439E-5,1,0.999253354069792,40.0298881530762,1.99877593657654,17.8900007158518,0.553113155041505,0.105872533105797,2.5,0.000584950121161957,0.0503479506742518,0.000958493814985055,4.19954252243042,4.19954252243042,65523.6796875,65612.6796875,56.6203883045637,20.6409797237247,3.57774639129639,0,0,0,40,4.20507764816284,1,6,1,2.25051879882813,47.4095802307129,,,,,,,,,,,,,,,,
,3949048418.7295,4.19974756240845,65473.96875,0.0506569172302589,4.11960190209981E-5,1,0.999253354069792,40.0298881530762,1.99887242999776,17.8900007158518,0.556161831035077,0.106528510154727,2.5,0.000594499261006307,0.0506242394730476,0.000970115118286126,4.19968461990356,4.19968461990356,65424.2578125,65523.6796875,56.4703156288714,20.6393171035447,3.57803916931152,0,0,0,40,4.2054762840271,1,6,1,2.24472045898438,42.5219955444336,,,,,,,,,,,,,,,,
,3949048419.7125,4.19991731643677,65374.55078125,0.0509224765298335,4.76985642630727E-5,1,0.999253354069792,40.0298881530762,1.99885598836519,17.8900007158518,0.559181029750629,0.106455670362828,2.5,0.000540365913855053,0.0508896015499127,0.000918006463799168,4.19981050491333,4.19981050491333,65324.84375,65424.2578125,55.392449900852,20.638928650992,3.57802796363831,0,0,0,40,4.205482006073,1,6,1,2.2503662109375,42.0332374572754,,,,,,,,,,,,,,,,
,3949048420.7115,4.20006465911865,65275.46875,0.0510548715992734,5.47733560328786E-5,1,0.999253354069792,40.0298881530762,1.99880323734835,17.8900007158518,0.560572262916392,0.106971957647897,2.5,0.000563838492527522,0.0510212964485688,0.000942471300036772,4.2000241279602,4.2000241279602,65226.09375,65324.84375,56.3858997487944,20.6453735743089,3.57812333106995,0,0,0,40,4.20539999008179,1,6,1,2.23175048828125,42.5219955444336,,,,,,,,,,,,,,,,
