Capacitance(pF),Loss (nSiemens),Timestamp (24hr)
1.114866,0.000258,16:31:02
1.114861,0.000258,16:31:03
1.114854,0.000258,16:31:03
1.114848,0.000251,16:31:04
1.114841,0.000258,16:31:05
1.114834,0.000258,16:31:06
1.114828,0.000258,16:31:07
1.114823,0.000258,16:31:08
1.114816,0.000258,16:31:09
1.114809,0.000264,16:31:10
1.114805,0.000258,16:31:11
1.114796,0.000264,16:31:12
1.11479,0.000258,16:31:13
1.114783,0.000264,16:31:14
1.114778,0.000258,16:31:15
1.114772,0.000264,16:31:16
1.114764,0.000264,16:31:17
1.114758,0.000264,16:31:18
1.114753,0.000258,16:31:19
1.114746,0.000251,16:31:20
1.11474,0.000251,16:31:20
1.114733,0.000251,16:31:21
1.114727,0.000258,16:31:22
1.114719,0.000264,16:31:23
1.114715,0.000251,16:31:24
1.114708,0.000264,16:31:25
1.114703,0.000251,16:31:26
1.114695,0.000251,16:31:27
1.11469,0.000258,16:31:28
1.114684,0.000258,16:31:29
1.114678,0.000258,16:31:30
1.11467,0.000251,16:31:31
1.114663,0.000264,16:31:32
1.114658,0.000258,16:31:33
1.11465,0.000258,16:31:34
1.114645,0.000264,16:31:35
1.114639,0.000251,16:31:36
1.114633,0.000258,16:31:37
1.114626,0.000251,16:31:37
1.11462,0.000251,16:31:38
1.114614,0.000258,16:31:39
1.114608,0.000258,16:31:40
1.114601,0.000251,16:31:41
1.114594,0.000251,16:31:42
1.114588,0.000251,16:31:43
1.114582,0.000258,16:31:44
1.114577,0.000251,16:31:45
1.114569,0.000258,16:31:46
1.114562,0.000258,16:31:47
1.114556,0.000258,16:31:48
1.114552,0.000258,16:31:49
1.114544,0.000258,16:31:50
1.114538,0.000258,16:31:51
1.114532,0.000258,16:31:52
1.114525,0.000251,16:31:53
1.11452,0.000258,16:31:54
1.114514,0.000264,16:31:54
1.114508,0.000258,16:31:55
1.1145,0.000264,16:31:56
1.114495,0.000258,16:31:57
1.114488,0.000258,16:31:58
1.114482,0.000258,16:31:59
1.114476,0.000258,16:32:00
1.11447,0.000251,16:32:01
1.114464,0.000258,16:32:02
1.114457,0.000251,16:32:03
1.114452,0.000258,16:32:04
1.114445,0.000251,16:32:05
1.114437,0.000264,16:32:06
1.114432,0.000258,16:32:07
1.114425,0.000258,16:32:08
1.11442,0.000264,16:32:09
1.114412,0.000264,16:32:10
1.114406,0.000258,16:32:11
1.114401,0.000258,16:32:11
1.114394,0.000264,16:32:12
1.114388,0.000258,16:32:13
1.114382,0.000258,16:32:14
1.114376,0.000264,16:32:15
1.11437,0.000258,16:32:16
1.114364,0.000258,16:32:17
1.114358,0.000258,16:32:18
1.114353,0.000258,16:32:19
1.114344,0.000264,16:32:20
1.114339,0.000258,16:32:21
1.114333,0.000251,16:32:22
1.114327,0.000251,16:32:23
1.11432,0.000258,16:32:24
1.114315,0.000258,16:32:25
1.114309,0.000258,16:32:26
1.114302,0.000258,16:32:27
1.114296,0.000258,16:32:28
1.11429,0.000264,16:32:28
1.114284,0.000258,16:32:29
1.114278,0.000258,16:32:30
1.114271,0.000258,16:32:31
