Capacitance(pF),Loss (nSiemens),Timestamp (24hr)
1.17078,0.00113,14:50:26
1.17074,0.00119,14:50:28
1.17072,0.00119,14:50:30
1.17068,0.00113,14:50:32
1.17063,0.00107,14:50:34
NaN,NaN,14:50:37
1.17056,0.00126,14:50:39
1.17055,0.00113,14:50:41
NaN,NaN,14:50:43
NaN,NaN,14:50:45
NaN,NaN,14:50:48
NaN,NaN,14:50:50
NaN,NaN,14:50:52
1.17029,0.00101,14:50:55
1.170236,0.00119,14:50:58
1.17022,0.00126,14:51:00
1.17017,0.00113,14:51:01
NaN,NaN,14:51:04
1.17011,0.00101,14:51:07
1.17006,0.00113,14:51:09
1.17002,0.00113,14:51:12
NaN,NaN,14:51:14
NaN,NaN,14:51:16
NaN,NaN,14:51:19
NaN,NaN,14:51:21
NaN,NaN,14:51:24
NaN,NaN,14:51:26
NaN,NaN,14:51:29
NaN,NaN,14:51:31
NaN,NaN,14:51:34
NaN,NaN,14:51:36
NaN,NaN,14:51:39
NaN,NaN,14:51:41
NaN,NaN,14:51:43
NaN,NaN,14:51:46
NaN,NaN,14:51:48
NaN,NaN,14:51:51
NaN,NaN,14:51:53
NaN,NaN,14:51:56
NaN,NaN,14:51:58
NaN,NaN,14:52:01
NaN,NaN,14:52:03
NaN,NaN,14:52:05
1.16917,0.00119,14:52:07
1.16913,0.00113,14:52:09
1.16911,0.00126,14:52:11
1.16909,0.00126,14:52:14
1.16905,0.00119,14:52:16
1.16902,0.00126,14:52:18
NaN,NaN,14:52:20
1.16895,0.00107,14:52:22
1.16894,0.00126,14:52:25
1.16889,0.00113,14:52:27
NaN,NaN,14:52:29
1.16884,0.00119,14:52:31
NaN,NaN,14:52:34
1.16878,0.00119,14:52:35
1.16873,0.00119,14:52:37
1.16869,0.00107,14:52:39
1.1687,0.00107,14:52:41
1.16865,0.00126,14:52:43
NaN,NaN,14:52:46
1.1686,0.00101,14:52:48
NaN,NaN,14:52:50
1.16853,0.00119,14:52:52
1.1685,0.00119,14:52:55
1.16847,0.00119,14:52:57
1.16844,0.00119,14:52:59
1.16841,0.00126,14:53:01
1.16839,0.00119,14:53:03
1.16837,0.00119,14:53:05
1.168324,0.00126,14:53:07
1.1683,0.00126,14:53:09
NaN,NaN,14:53:11
1.16824,0.00113,14:53:13
1.16823,0.00126,14:53:15
1.16819,0.00113,14:53:17
1.16819,0.00113,14:53:19
1.16813,0.00119,14:53:22
NaN,NaN,14:53:25
NaN,NaN,14:53:27
NaN,NaN,14:53:29
NaN,NaN,14:53:32
NaN,NaN,14:53:34
NaN,NaN,14:53:37
NaN,NaN,14:53:39
NaN,NaN,14:53:42
NaN,NaN,14:53:44
NaN,NaN,14:53:47
NaN,NaN,14:53:49
NaN,NaN,14:53:51
NaN,NaN,14:53:54
NaN,NaN,14:53:56
NaN,NaN,14:53:59
NaN,NaN,14:54:01
NaN,NaN,14:54:04
NaN,NaN,14:54:06
NaN,NaN,14:54:09
NaN,NaN,14:54:11
NaN,NaN,14:54:13
NaN,NaN,14:54:16
NaN,NaN,14:54:18
NaN,NaN,14:54:21
NaN,NaN,14:54:23
NaN,NaN,14:54:26
NaN,NaN,14:54:28
NaN,NaN,14:54:31
NaN,NaN,14:54:33
NaN,NaN,14:54:35
NaN,NaN,14:54:38
NaN,NaN,14:54:40
NaN,NaN,14:54:43
NaN,NaN,14:54:45
NaN,NaN,14:54:48
NaN,NaN,14:54:50
NaN,NaN,14:54:53
NaN,NaN,14:54:55
NaN,NaN,14:54:57
NaN,NaN,14:55:00
NaN,NaN,14:55:02
NaN,NaN,14:55:05
NaN,NaN,14:55:07
1.16693,0.00113,14:55:10
1.1669,0.00101,14:55:12
1.16687,0.00107,14:55:14
1.16684,0.00113,14:55:16
1.16681,0.00132,14:55:18
1.16678,0.00107,14:55:20
1.16676,0.00101,14:55:22
1.1667,0.00101,14:55:23
1.16669,0.00107,14:55:25
1.16666,0.00113,14:55:28
1.16664,0.00113,14:55:30
1.1666,0.00113,14:55:32
1.16656,0.00107,14:55:34
1.16656,0.00107,14:55:36
1.16651,0.00119,14:55:38
1.16651,0.00113,14:55:39
1.16645,0.00101,14:55:42
1.16642,0.00113,14:55:44
1.1664,0.00101,14:55:46
1.16637,0.00113,14:55:49
1.16634,0.00107,14:55:52
1.1663,0.00113,14:55:54
1.16628,0.00107,14:55:56
1.16625,0.00107,14:55:58
1.16624,0.00113,14:56:01
